0:0:0:0:0:0:0:1 - - [25/Mar/2020:09:30:50 +0900] "GET /upgrade/resources/mov/gallery/v21.mp4 HTTP/1.1" 404 1168
0:0:0:0:0:0:0:1 - - [25/Mar/2020:09:30:50 +0900] "GET /upgrade/resources/mov/gallery/v51.mp4 HTTP/1.1" 404 1168
0:0:0:0:0:0:0:1 - - [25/Mar/2020:09:30:50 +0900] "GET /upgrade/resources/mov/gallery/v31.mp4 HTTP/1.1" 404 1168
0:0:0:0:0:0:0:1 - - [25/Mar/2020:09:30:50 +0900] "GET /upgrade/resources/mov/gallery/v61.mp4 HTTP/1.1" 404 1168
0:0:0:0:0:0:0:1 - - [25/Mar/2020:09:30:50 +0900] "GET /upgrade/resources/mov/gallery/v81.mp4 HTTP/1.1" 404 1168
0:0:0:0:0:0:0:1 - - [25/Mar/2020:09:30:50 +0900] "GET /upgrade/resources/mov/gallery/v91.mp4 HTTP/1.1" 404 1168
0:0:0:0:0:0:0:1 - - [25/Mar/2020:09:30:50 +0900] "GET /upgrade/resources/mov/gallery/v21.mp4 HTTP/1.1" 404 1168
0:0:0:0:0:0:0:1 - - [25/Mar/2020:09:30:50 +0900] "GET /upgrade/resources/mov/gallery/v31.mp4 HTTP/1.1" 404 1168
0:0:0:0:0:0:0:1 - - [25/Mar/2020:09:31:55 +0900] "POST /upgrade/loginajax.do HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [25/Mar/2020:09:31:56 +0900] "POST /upgrade/loginajax.do HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [25/Mar/2020:09:31:58 +0900] "POST /upgrade/loginajax.do HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [25/Mar/2020:09:31:59 +0900] "POST /upgrade/loginajax.do HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [25/Mar/2020:09:36:44 +0900] "POST /upgrade/loginajax.do HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [25/Mar/2020:09:36:49 +0900] "POST /upgrade/loginajax.do HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [25/Mar/2020:09:36:55 +0900] "GET /upgrade/home.jsp HTTP/1.1" 200 26818
0:0:0:0:0:0:0:1 - - [25/Mar/2020:09:36:55 +0900] "GET /upgrade/resources/css/reset.css HTTP/1.1" 200 29404
0:0:0:0:0:0:0:1 - - [25/Mar/2020:09:36:55 +0900] "GET /upgrade/resources/css/style.css HTTP/1.1" 200 15002
0:0:0:0:0:0:0:1 - - [25/Mar/2020:09:36:55 +0900] "GET /upgrade/resources/css/reponsive.css HTTP/1.1" 200 1655
0:0:0:0:0:0:0:1 - - [25/Mar/2020:09:36:55 +0900] "GET /upgrade/resources/css/style1.css HTTP/1.1" 200 1273
0:0:0:0:0:0:0:1 - - [25/Mar/2020:09:36:55 +0900] "GET /upgrade/resources/js/lib/jquery-1.12.4.min.js HTTP/1.1" 200 97168
0:0:0:0:0:0:0:1 - - [25/Mar/2020:09:36:55 +0900] "GET /upgrade/resources/js/lib/jquery.easing.1.3.js HTTP/1.1" 200 8303
0:0:0:0:0:0:0:1 - - [25/Mar/2020:09:36:55 +0900] "GET /upgrade/resources/js/script1.js HTTP/1.1" 200 1829
0:0:0:0:0:0:0:1 - - [25/Mar/2020:09:36:55 +0900] "GET /upgrade/resources/js/header.js HTTP/1.1" 200 1453
0:0:0:0:0:0:0:1 - - [25/Mar/2020:09:36:55 +0900] "GET /upgrade/resources/js/section1.js HTTP/1.1" 200 4955
0:0:0:0:0:0:0:1 - - [25/Mar/2020:09:36:55 +0900] "GET /upgrade/resources/js/section2.js HTTP/1.1" 200 3368
0:0:0:0:0:0:0:1 - - [25/Mar/2020:09:36:55 +0900] "GET /upgrade/resources/img/logo-icon-dh-white.png HTTP/1.1" 200 8196
0:0:0:0:0:0:0:1 - - [25/Mar/2020:09:36:55 +0900] "GET /upgrade/resources/img/logo-icon-dh-black.png HTTP/1.1" 200 11858
0:0:0:0:0:0:0:1 - - [25/Mar/2020:09:36:55 +0900] "GET /upgrade/resources/img/GS-OE-kenoa-exclsuive-beach-spa-and-resort.jpg HTTP/1.1" 200 135842
0:0:0:0:0:0:0:1 - - [25/Mar/2020:09:36:55 +0900] "GET /upgrade/resources/img/left.png HTTP/1.1" 200 3565
0:0:0:0:0:0:0:1 - - [25/Mar/2020:09:36:55 +0900] "GET /upgrade/home.jsp HTTP/1.1" 200 26818
0:0:0:0:0:0:0:1 - - [25/Mar/2020:09:36:55 +0900] "GET /upgrade/home.jsp HTTP/1.1" 200 26818
0:0:0:0:0:0:0:1 - - [25/Mar/2020:09:36:55 +0900] "GET /upgrade/resources/img/right.png HTTP/1.1" 200 3048
0:0:0:0:0:0:0:1 - - [25/Mar/2020:09:36:55 +0900] "GET /upgrade/resources/css/reset.css HTTP/1.1" 200 29404
0:0:0:0:0:0:0:1 - - [25/Mar/2020:09:36:55 +0900] "GET /upgrade/resources/css/style.css HTTP/1.1" 200 15002
0:0:0:0:0:0:0:1 - - [25/Mar/2020:09:36:55 +0900] "GET /upgrade/resources/css/reponsive.css HTTP/1.1" 200 1655
0:0:0:0:0:0:0:1 - - [25/Mar/2020:09:36:55 +0900] "GET /upgrade/resources/css/style1.css HTTP/1.1" 200 1273
0:0:0:0:0:0:0:1 - - [25/Mar/2020:09:36:55 +0900] "GET /upgrade/resources/js/lib/jquery-1.12.4.min.js HTTP/1.1" 200 97168
0:0:0:0:0:0:0:1 - - [25/Mar/2020:09:36:55 +0900] "GET /upgrade/resources/js/lib/jquery.easing.1.3.js HTTP/1.1" 200 8303
0:0:0:0:0:0:0:1 - - [25/Mar/2020:09:36:55 +0900] "GET /upgrade/resources/js/header.js HTTP/1.1" 200 1453
0:0:0:0:0:0:0:1 - - [25/Mar/2020:09:36:55 +0900] "GET /upgrade/resources/js/script1.js HTTP/1.1" 200 1829
0:0:0:0:0:0:0:1 - - [25/Mar/2020:09:36:55 +0900] "GET /upgrade/resources/js/section1.js HTTP/1.1" 200 4955
0:0:0:0:0:0:0:1 - - [25/Mar/2020:09:36:55 +0900] "GET /upgrade/resources/js/section2.js HTTP/1.1" 200 3368
0:0:0:0:0:0:0:1 - - [25/Mar/2020:09:36:55 +0900] "GET /upgrade/resources/img/logo-icon-dh-white.png HTTP/1.1" 200 8196
0:0:0:0:0:0:0:1 - - [25/Mar/2020:09:36:55 +0900] "GET /upgrade/resources/img/logo-icon-dh-black.png HTTP/1.1" 200 11858
0:0:0:0:0:0:0:1 - - [25/Mar/2020:09:36:55 +0900] "GET /upgrade/home.jsp HTTP/1.1" 200 26818
0:0:0:0:0:0:0:1 - - [25/Mar/2020:09:36:55 +0900] "GET /upgrade/resources/img/GS-OE-kenoa-exclsuive-beach-spa-and-resort.jpg HTTP/1.1" 200 135842
0:0:0:0:0:0:0:1 - - [25/Mar/2020:09:36:55 +0900] "GET /upgrade/resources/img/left.png HTTP/1.1" 200 3565
0:0:0:0:0:0:0:1 - - [25/Mar/2020:09:36:56 +0900] "GET /upgrade/resources/css/reset.css HTTP/1.1" 200 29404
0:0:0:0:0:0:0:1 - - [25/Mar/2020:09:36:56 +0900] "GET /upgrade/home.jsp HTTP/1.1" 200 26818
0:0:0:0:0:0:0:1 - - [25/Mar/2020:09:36:56 +0900] "GET /upgrade/resources/css/style.css HTTP/1.1" 200 15002
0:0:0:0:0:0:0:1 - - [25/Mar/2020:09:36:56 +0900] "GET /upgrade/resources/css/reponsive.css HTTP/1.1" 200 1655
0:0:0:0:0:0:0:1 - - [25/Mar/2020:09:36:56 +0900] "GET /upgrade/resources/css/style1.css HTTP/1.1" 200 1273
0:0:0:0:0:0:0:1 - - [25/Mar/2020:09:36:56 +0900] "GET /upgrade/resources/js/lib/jquery-1.12.4.min.js HTTP/1.1" 200 97168
0:0:0:0:0:0:0:1 - - [25/Mar/2020:09:36:56 +0900] "GET /upgrade/resources/js/lib/jquery.easing.1.3.js HTTP/1.1" 200 8303
0:0:0:0:0:0:0:1 - - [25/Mar/2020:09:36:56 +0900] "GET /upgrade/resources/js/section1.js HTTP/1.1" 200 4955
0:0:0:0:0:0:0:1 - - [25/Mar/2020:09:36:56 +0900] "GET /upgrade/resources/js/section2.js HTTP/1.1" 200 3368
0:0:0:0:0:0:0:1 - - [25/Mar/2020:09:36:56 +0900] "GET /upgrade/resources/js/header.js HTTP/1.1" 200 1453
0:0:0:0:0:0:0:1 - - [25/Mar/2020:09:36:56 +0900] "GET /upgrade/resources/img/logo-icon-dh-white.png HTTP/1.1" 200 8196
0:0:0:0:0:0:0:1 - - [25/Mar/2020:09:36:56 +0900] "GET /upgrade/resources/css/reset.css HTTP/1.1" 200 29404
0:0:0:0:0:0:0:1 - - [25/Mar/2020:09:36:56 +0900] "GET /upgrade/resources/css/style.css HTTP/1.1" 200 15002
0:0:0:0:0:0:0:1 - - [25/Mar/2020:09:36:56 +0900] "GET /upgrade/home.jsp HTTP/1.1" 200 26818
0:0:0:0:0:0:0:1 - - [25/Mar/2020:09:36:56 +0900] "GET /upgrade/resources/css/reponsive.css HTTP/1.1" 200 1655
0:0:0:0:0:0:0:1 - - [25/Mar/2020:09:36:56 +0900] "GET /upgrade/resources/css/style1.css HTTP/1.1" 200 1273
0:0:0:0:0:0:0:1 - - [25/Mar/2020:09:36:56 +0900] "GET /upgrade/resources/js/lib/jquery-1.12.4.min.js HTTP/1.1" 200 97168
0:0:0:0:0:0:0:1 - - [25/Mar/2020:09:36:56 +0900] "GET /upgrade/resources/js/lib/jquery.easing.1.3.js HTTP/1.1" 200 8303
0:0:0:0:0:0:0:1 - - [25/Mar/2020:09:36:56 +0900] "GET /upgrade/resources/js/script1.js HTTP/1.1" 200 1829
0:0:0:0:0:0:0:1 - - [25/Mar/2020:09:36:56 +0900] "GET /upgrade/resources/js/header.js HTTP/1.1" 200 1453
0:0:0:0:0:0:0:1 - - [25/Mar/2020:09:36:56 +0900] "GET /upgrade/resources/js/section1.js HTTP/1.1" 200 4955
0:0:0:0:0:0:0:1 - - [25/Mar/2020:09:36:56 +0900] "GET /upgrade/resources/js/section2.js HTTP/1.1" 200 3368
0:0:0:0:0:0:0:1 - - [25/Mar/2020:09:36:56 +0900] "GET /upgrade/resources/img/logo-icon-dh-white.png HTTP/1.1" 200 8196
0:0:0:0:0:0:0:1 - - [25/Mar/2020:09:36:56 +0900] "GET /upgrade/resources/css/reset.css HTTP/1.1" 200 29404
0:0:0:0:0:0:0:1 - - [25/Mar/2020:09:36:56 +0900] "GET /upgrade/resources/css/style.css HTTP/1.1" 200 15002
0:0:0:0:0:0:0:1 - - [25/Mar/2020:09:36:56 +0900] "GET /upgrade/resources/css/reponsive.css HTTP/1.1" 200 1655
0:0:0:0:0:0:0:1 - - [25/Mar/2020:09:36:56 +0900] "GET /upgrade/resources/css/style1.css HTTP/1.1" 200 1273
0:0:0:0:0:0:0:1 - - [25/Mar/2020:09:36:56 +0900] "GET /upgrade/resources/js/lib/jquery-1.12.4.min.js HTTP/1.1" 200 97168
0:0:0:0:0:0:0:1 - - [25/Mar/2020:09:36:56 +0900] "GET /upgrade/resources/js/lib/jquery.easing.1.3.js HTTP/1.1" 200 8303
0:0:0:0:0:0:0:1 - - [25/Mar/2020:09:36:56 +0900] "GET /upgrade/resources/js/header.js HTTP/1.1" 200 1453
0:0:0:0:0:0:0:1 - - [25/Mar/2020:09:36:56 +0900] "GET /upgrade/home.jsp HTTP/1.1" 200 26818
0:0:0:0:0:0:0:1 - - [25/Mar/2020:09:36:56 +0900] "GET /upgrade/resources/js/script1.js HTTP/1.1" 200 1829
0:0:0:0:0:0:0:1 - - [25/Mar/2020:09:36:56 +0900] "GET /upgrade/resources/js/section1.js HTTP/1.1" 200 4955
